ID,SHTREFN,SHTSEQN,SHTIREF,SFILENM,SZMUSRC,SZMCYDC,SZMTIMC,CREATEDATE,FILEFOUND,SENDALERT,SENDDATE,Status,CreatedBy,CreatedOn,ModifiedBy,ModifiedOn
12237,FVL417DIS0028050,1,DIP21112085,01/11/21 - 01/12/21,API-STD,20211111,102400,16/11/2021 4:49:33 pm,True,False,,,,,,
12238,GLL301DIS0028120,1,DIP21112086,01/11/21 - 01/12/21,API-STD,20211111,102400,16/11/2021 4:49:33 pm,True,False,,,,,,
12239,GML025DIS0028071,1,DIP21112087,01/11/21 - 01/12/21,API-STD,20211111,102401,16/11/2021 4:49:33 pm,True,False,,,,,,
12240,JBS001DIS0028128,1,DIP21112088,01/11/21 - 01/12/21,API-STD,20211111,102401,16/11/2021 4:49:33 pm,True,False,,,,,,
12241,JSB003DIS0028084,1,DIP21112089,18/11/21 - 18/12/21,API-STD,20211111,102402,16/11/2021 4:49:33 pm,True,False,,,,,,
12242,JWA007DIS0028101,1,DIP21112090,01/11/21 - 01/12/21,API-STD,20211111,102402,16/11/2021 4:49:33 pm,True,False,,,,,,
12243,PGC301DIS0028125,1,DIP21112091,10/11/21 - 10/12/21,API-STD,20211111,102402,16/11/2021 4:49:33 pm,True,False,,,,,,
12244,PGC301DIS0028135,1,DIP21112092,01/11/21 - 01/12/21,API-STD,20211111,102403,16/11/2021 4:49:33 pm,True,False,,,,,,
12245,PRS527DIS0028095,1,DIP21112093,01/11/21 - 01/12/21,API-STD,20211111,102403,16/11/2021 4:49:33 pm,True,False,,,,,,
12246,SML312DIS0028108,1,DIP21112094,01/11/21 - 01/12/21,API-STD,20211111,102404,16/11/2021 4:49:33 pm,True,False,,,,,,
12247,SNA019DIS0028089,1,DIP21112095,01/11/21 - 01/12/21,API-STD,20211111,102404,16/11/2021 4:49:33 pm,True,False,,,,,,
12248,SPF0000220,1,DIP21112096,01/11/21 - 01/12/21,API-STD,20211111,102404,16/11/2021 4:49:33 pm,True,False,,,,,,
12249,SPF0000221,1,DIP21112097,01/11/21 - 01/12/21,API-STD,20211111,102404,16/11/2021 4:49:33 pm,True,False,,,,,,
12250,SPF0000222,1,DIP21112098,01/11/21 - 01/12/21,API-STD,20211111,102405,16/11/2021 4:49:33 pm,True,False,,,,,,
12251,SPF0000223,1,DIP21112099,01/11/21 - 01/12/21,API-STD,20211111,102405,16/11/2021 4:49:33 pm,True,False,,,,,,
12252,AVR351DIS0028097,1,SDP21112972,01/11/21 - 01/12/21,API-STD,20211112,085614,16/11/2021 4:49:33 pm,True,False,,,,,,
12253,BDC209DIS0028082,1,SDP21112973,01/11/21 - 01/12/21,API-STD,20211112,085615,16/11/2021 4:49:33 pm,True,False,,,,,,
12254,BDR739DIS0028109,1,SDP21112974,09/11/21 - 09/12/21,API-STD,20211112,085615,16/11/2021 4:49:33 pm,True,False,,,,,,
12255,CTW720DIS0027863,1,SDP21112975,01/11/21 - 01/12/21,API-STD,20211112,085616,16/11/2021 4:49:33 pm,True,False,,,,,,
12256,JWA007DIS0028085,1,SDP21112976,01/11/21 - 01/12/21,API-STD,20211112,085616,16/11/2021 4:49:33 pm,True,False,,,,,,
12257,JWA007DIS0028136,1,SDP21112977,01/11/21 - 01/12/21,API-STD,20211112,085616,16/11/2021 4:49:33 pm,True,False,,,,,,
12258,MNR108DIS0028098,1,SDP21112978,01/11/21 - 01/12/21,API-STD,20211112,085616,16/11/2021 4:49:33 pm,True,False,,,,,,
12259,SML312DIS0028069,1,SDP21112979,01/11/21 - 01/12/21,API-STD,20211112,085617,16/11/2021 4:49:33 pm,True,False,,,,,,
12260,SWA455DIS0028100,1,SDP21112980,01/11/21 - 01/12/21,API-STD,20211112,085617,16/11/2021 4:49:33 pm,True,False,,,,,,
12261,SWA455DIS0028144,1,SDP21112981,01/11/21 - 01/12/21,API-STD,20211112,085617,16/11/2021 4:49:33 pm,True,False,,,,,,
12262,SPF0000224,1,DIP21112100,01/11/21 - 01/12/21,API-STD,20211111,102405,16/11/2021 4:49:33 pm,True,False,,,,,,
12263,SPF0000225,1,DIP21112101,01/11/21 - 01/12/21,API-STD,20211111,102405,16/11/2021 4:49:33 pm,True,False,,,,,,
12264,SPF0000226,1,DIP21112102,01/11/21 - 01/12/21,API-STD,20211111,102405,16/11/2021 4:49:33 pm,True,False,,,,,,
12265,SPF0000227,1,DIP21112103,01/11/21 - 01/12/21,API-STD,20211111,102406,16/11/2021 4:49:33 pm,True,False,,,,,,
12266,SPF0000228,1,DIP21112104,01/11/21 - 01/12/21,API-STD,20211111,102406,16/11/2021 4:49:33 pm,True,False,,,,,,
12267,SPF0000229,1,DIP21112105,01/11/21 - 01/12/21,API-STD,20211111,102406,16/11/2021 4:49:33 pm,True,False,,,,,,
12268,SPF0000230,1,DIP21112106,01/11/21 - 01/12/21,API-STD,20211111,102406,16/11/2021 4:49:33 pm,True,False,,,,,,
12269,SPF0000233,1,DIP21112107,01/11/21 - 01/12/21,API-STD,20211111,102406,16/11/2021 4:49:33 pm,True,False,,,,,,
12270,SPF0000234,1,DIP21112108,02/11/21 - 02/12/21,API-STD,20211111,102407,16/11/2021 4:49:33 pm,True,False,,,,,,
12271,SPF0000236,1,DIP21112109,03/11/21 - 03/12/21,API-STD,20211111,102407,16/11/2021 4:49:33 pm,True,False,,,,,,
12272,SPF0000237,1,DIP21112110,04/11/21 - 04/12/21,API-STD,20211111,102407,16/11/2021 4:49:33 pm,True,False,,,,,,
12273,SPF0000238,1,DIP21112111,04/11/21 - 04/12/21,API-STD,20211111,102407,16/11/2021 4:49:33 pm,True,False,,,,,,
12274,SPF0000239,1,DIP21112112,04/11/21 - 04/12/21,API-STD,20211111,102407,16/11/2021 4:49:33 pm,True,False,,,,,,
12275,SPF0000240,1,DIP21112113,04/11/21 - 04/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12276,SPF0000241,1,DIP21112114,04/11/21 - 04/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12277,SPF0000242,1,DIP21112115,01/11/21 - 01/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12278,SPF0000243,1,DIP21112116,03/11/21 - 03/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12279,SPF0000244,1,DIP21112117,03/11/21 - 03/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12280,SPF0000245,1,DIP21112118,03/11/21 - 03/12/21,API-STD,20211111,102408,16/11/2021 4:49:33 pm,True,False,,,,,,
12281,SPF0000246,1,DIP21112119,04/11/21 - 04/12/21,API-STD,20211111,102409,16/11/2021 4:49:33 pm,True,False,,,,,,
12282,SPF0000247,1,DIP21112120,03/11/21 - 03/12/21,API-STD,20211111,102409,16/11/2021 4:49:33 pm,True,False,,,,,,
12283,SPF0000258,1,DIP21112121,03/11/21 - 03/12/21,API-STD,20211111,102409,16/11/2021 4:49:33 pm,True,False,,,,,,
12284,SPF0000268,1,DIP21112122,07/11/21 - 07/12/21,API-STD,20211111,102409,16/11/2021 4:49:33 pm,True,False,,,,,,
12285,THR088DIS0028070,1,DIP21112123,01/11/21 - 01/12/21,API-STD,20211111,102410,16/11/2021 4:49:33 pm,True,False,,,,,,
12286,THR088DIS0028102,1,DIP21112124,01/11/21 - 01/12/21,API-STD,20211111,102410,16/11/2021 4:49:33 pm,True,False,,,,,,
12287,THR088DIS0028103,1,DIP21112125,01/11/21 - 01/12/21,API-STD,20211111,102411,16/11/2021 4:49:33 pm,True,False,,,,,,
12288,WJT001DIS0028076,1,DIP21112126,01/11/21 - 01/12/21,API-STD,20211111,102411,16/11/2021 4:49:33 pm,True,False,,,,,,
12289,WLR785DIS0028106,1,DIP21112127,01/11/21 - 01/12/21,API-STD,20211111,102411,16/11/2021 4:49:33 pm,True,False,,,,,,
12290,WLR785DIS0028107,1,DIP21112128,01/11/21 - 01/12/21,API-STD,20211111,102412,16/11/2021 4:49:33 pm,True,False,,,,,,
12291,WLS301DIS0027693,1,DIP21112129,01/11/21 - 01/12/21,API-STD,20211111,102412,16/11/2021 4:49:33 pm,True,False,,,,,,
12292,WLS301DIS0027694,1,DIP21112130,01/11/21 - 01/12/21,API-STD,20211111,102413,16/11/2021 4:49:33 pm,True,False,,,,,,
12293,WLS301DIS0027695,1,DIP21112131,01/11/21 - 01/12/21,API-STD,20211111,102413,16/11/2021 4:49:33 pm,True,False,,,,,,
12294,WLS301DIS0027998,1,DIP21112132,01/11/21 - 01/12/21,API-STD,20211111,102413,16/11/2021 4:49:33 pm,True,False,,,,,,
12295,WLS301DIS0028031,1,DIP21112133,01/11/21 - 01/12/21,API-STD,20211111,102414,16/11/2021 4:49:33 pm,True,False,,,,,,
12296,,1,DIP21112134,01/11/21 - 01/12/21,API-STD,20211111,102414,16/11/2021 4:49:33 pm,True,False,,,,,,
12297,YJ9018DIS0026700,1,DIP21112135,01/11/21 - 01/12/21,API-STD,20211111,102414,16/11/2021 4:49:33 pm,True,False,,,,,,
12298,YJ9018DIS0027980,1,DIP21112136,01/11/21 - 01/12/21,API-STD,20211111,102415,16/11/2021 4:49:33 pm,True,False,,,,,,
12299,YJ9018DIS0027981,1,DIP21112137,01/11/21 - 01/12/21,API-STD,20211111,102416,16/11/2021 4:49:33 pm,True,False,,,,,,
12300,YSA675DIS0027958,1,DIP21112138,01/11/21 - 01/12/21,API-STD,20211111,102416,16/11/2021 4:49:33 pm,True,False,,,,,,
12301,YSA675DIS0028027,1,DIP21112139,01/11/21 - 01/12/21,API-STD,20211111,102417,16/11/2021 4:49:33 pm,True,False,,,,,,
